date,gold_usd,gold_usd_variability
2023-05-24,1973.225,0.92
2023-05-23,1964.425,-0.45
2023-05-22,1975.75,0.58
2023-05-19,1963.575,-0.62
2023-05-18,1968.625,0.26
2023-05-17,1980.075,0.58
2023-05-16,2008.675,1.44
2023-05-15,2017.6,0.44
2023-05-12,2013.275,-0.21
2023-05-11,2020.85,0.38
2023-05-10,2033.375,0.62
2023-05-09,2027.9,-0.27
2023-05-05,2019.925,-0.39
2023-05-04,2040.375,1.01
2023-05-03,2015.6,-1.21
2023-05-02,1988.15,-1.36
2023-04-28,1982.625,-0.28
2023-04-27,1991.65,0.46
2023-04-26,2001.025,0.47
2023-04-25,1988.8,-0.61
2023-04-24,1982.175,-0.33
2023-04-21,1979.875,-0.12
2023-04-20,2000.6,1.05
2023-04-19,1983.325,-0.86
2023-04-18,1999.35,0.81
2023-04-17,2002.675,0.17
2023-04-14,2027.525,1.24
2023-04-13,2037.775,0.51
2023-04-12,2008.55,-1.43
2023-04-11,2002.1,-0.32
2023-04-06,2009.575,0.37
2023-04-05,2026.575,0.85
2023-04-04,1995.925,-1.51
2023-04-03,1973.2,-1.14
2023-03-31,1979.25,0.31
2023-03-30,1966.95,-0.62
2023-03-29,1965.425,-0.08
2023-03-28,1956.35,-0.46
2023-03-27,1953.25,-0.16
2023-03-24,1994.975,2.14
2023-03-23,1977.75,-0.86
2023-03-22,1945.6,-1.63
2023-03-21,1959.225,0.7
2023-03-20,1975.65,0.84
2023-03-17,1946.5,-1.48
2023-03-16,1921.075,-1.31
2023-03-15,1914.7,-0.33
2023-03-14,1904.5,-0.53
2023-03-13,1896.7,-0.41
2023-03-10,1848.1,-2.56
2023-03-09,1824.45,-1.28
2023-03-08,1814.825,-0.53
2023-03-07,1834.8,1.1
2023-03-06,1850.375,0.85
2023-03-03,1843.35,-0.38
2023-03-02,1833.975,-0.51
2023-03-01,1837.375,0.19
2023-02-28,1817.4,-1.09
2023-02-27,1813.85,-0.2
2023-02-24,1817.525,0.2
2023-02-23,1826.5,0.49
2023-02-22,1834.6,0.44
2023-02-21,1835.025,0.02
2023-02-20,1845.0,0.54
2023-02-17,1829.225,-0.86
2023-02-16,1833.125,0.21
2023-02-15,1833.325,0.01
2023-02-14,1862.1,1.57
2023-02-13,1857.275,-0.26
2023-02-10,1861.9,0.25
2023-02-09,1880.6,1.0
2023-02-08,1876.7,-0.21
2023-02-07,1872.25,-0.24
2023-02-06,1873.375,0.06
2023-02-03,1892.675,1.03
2023-02-02,1938.275,2.41
2023-02-01,1925.75,-0.65
2023-01-31,1914.55,-0.58
2023-01-30,1925.425,0.57
2023-01-27,1925.65,0.01
2023-01-26,1934.45,0.46
2023-01-25,1928.325,-0.32
2023-01-24,1928.625,0.02
2023-01-23,1921.025,-0.39
2023-01-20,1926.825,0.3
2023-01-19,1913.05,-0.71
2023-01-18,1916.125,0.16
2023-01-17,1909.375,-0.35
2023-01-16,1916.05,0.35
2023-01-13,1905.6,-0.55
2023-01-12,1882.825,-1.2
2023-01-11,1878.3,-0.24
2023-01-10,1876.925,-0.07
2023-01-09,1876.325,-0.03
2023-01-06,1843.35,-1.76
2023-01-05,1842.125,-0.07
2023-01-04,1857.425,0.83
2023-01-03,1839.15,-0.98
2022-12-30,,0.0
2022-12-29,1809.575,-1.61
2022-12-28,1803.0,-0.36
2022-12-23,,0.0
2022-12-22,1807.95,0.27
2022-12-21,1815.525,0.42
2022-12-20,1810.125,-0.3
2022-12-19,1793.65,-0.91
2022-12-16,1786.35,-0.41
2022-12-15,1779.75,-0.37
2022-12-14,1808.125,1.59
2022-12-13,1804.35,-0.21
2022-12-12,1788.6,-0.87
2022-12-09,1794.575,0.33
2022-12-08,1786.3000000000002,-0.46
2022-12-07,1777.025,-0.52
2022-12-06,1773.5749999999998,-0.19
2022-12-05,1785.5749999999998,0.68
2022-12-02,1792.75,0.4
2022-12-01,1791.375,-0.08
2022-11-30,1756.575,-1.94
2022-11-29,1754.025,-0.15
2022-11-28,1754.725,0.04
2022-11-25,1752.6999999999998,-0.12
2022-11-24,1755.325,0.15
2022-11-23,1737.95,-0.99
2022-11-22,1744.975,0.4
2022-11-21,1740.025,-0.28
2022-11-18,1758.175,1.04
2022-11-17,1761.5749999999998,0.19
2022-11-16,1778.1,0.94
2022-11-15,1773.225,-0.27
2022-11-14,1763.125,-0.57
2022-11-11,1762.05,-0.06
2022-11-10,1725.2,-2.09
2022-11-09,1710.2,-0.87
2022-11-08,1674.725,-2.07
2022-11-07,1679.4250000000002,0.28
2022-11-04,1661.6,-1.06
2022-11-03,1624.7,-2.22
2022-11-02,1653.0,1.74
2022-11-01,1648.9,-0.25
2022-10-31,1638.925,-0.6
2022-10-28,1648.65,0.59
2022-10-27,1661.525,0.78
2022-10-26,1668.775,0.44
2022-10-25,1651.05,-1.06
2022-10-24,1647.75,-0.2
2022-10-21,1633.9,-0.84
2022-10-20,1634.25,0.02
2022-10-19,1636.2,0.12
2022-10-18,1652.625,1.0
2022-10-17,1661.375,0.53
2022-10-14,1652.225,-0.55
2022-10-13,1662.25,0.61
2022-10-12,1671.475,0.55
2022-10-11,1664.4250000000002,-0.42
2022-10-10,1678.3,0.83
2022-10-07,1703.825,1.52
2022-10-06,1715.1,0.66
2022-10-05,1706.325,-0.51
2022-10-04,1712.0,0.33
2022-10-03,1664.6,-2.77
2022-09-30,1672.25,0.46
2022-09-29,1650.6999999999998,-1.29
2022-09-28,1635.1750000000002,-0.94
2022-09-27,1633.4499999999998,-0.11
2022-09-26,1645.175,0.72
2022-09-23,1652.5,0.45
2022-09-22,1671.85,1.17
2022-09-21,1673.1,0.07
2022-09-20,1666.025,-0.42
2022-09-16,1664.475,-0.09
2022-09-15,1689.05,1.48
2022-09-14,1703.85,0.88
2022-09-13,1715.9499999999998,0.71
2022-09-12,1726.45,0.61
2022-09-09,1720.1750000000002,-0.36
2022-09-08,1714.8,-0.31
2022-09-07,1703.85,-0.64
2022-09-06,1707.55,0.22
2022-09-05,1711.45,0.23
2022-09-02,1709.7,-0.1
2022-09-01,1700.15,-0.56
2022-08-31,1714.15,0.82
2022-08-30,1732.15,1.05
2022-08-26,1751.675,1.13
2022-08-25,1757.975,0.36
2022-08-24,1748.825,-0.52
2022-08-23,1743.0,-0.33
2022-08-22,1733.025,-0.57
2022-08-19,1751.825,1.08
2022-08-18,1765.5749999999998,0.78
2022-08-17,1770.4250000000002,0.27
2022-08-16,1775.5,0.29
2022-08-15,1779.025,0.2
2022-08-12,1790.275,0.63
2022-08-11,1793.2,0.16
2022-08-10,1794.275,0.06
2022-08-09,1792.925,-0.08
2022-08-08,1779.875,-0.73
2022-08-05,1780.0,0.01
2022-08-04,1780.5500000000002,0.03
2022-08-03,1763.925,-0.93
2022-08-02,1776.325,0.7
2022-08-01,1769.575,-0.38
2022-07-29,1756.15,-0.76
2022-07-28,1750.05,-0.35
2022-07-27,1719.0,-1.77
2022-07-26,1719.9499999999998,0.06
2022-07-25,1725.4250000000002,0.32
2022-07-22,1730.975,0.32
2022-07-21,1695.8249999999998,-2.03
2022-07-20,1710.975,0.89
2022-07-19,1713.0,0.12
2022-07-18,1721.35,0.49
2022-07-15,1704.35,-0.99
2022-07-14,1708.4250000000002,0.24
2022-07-13,1726.75,1.07
2022-07-12,1732.525,0.33
2022-07-11,1738.7,0.36
2022-07-08,1737.625,-0.06
2022-07-07,1745.7,0.46
2022-07-06,1760.475,0.85
2022-07-05,1788.2,1.57
2022-07-04,1807.725,1.09
2022-07-01,1796.5500000000002,-0.62
2022-06-30,1815.3,1.04
2022-06-29,1814.8,-0.03
2022-06-28,1823.025,0.45
2022-06-27,1832.175,0.5
