date,gold_kzt,gold_kzt_variability
12-08-2024,37168.92,-1.18
09-08-2024,36760.22,-1.1
08-08-2024,36590.36,-0.46
07-08-2024,37209.46,1.69
06-08-2024,37151.41,-0.16
05-08-2024,37560.84,1.1
02-08-2024,37148.39,-1.1
01-08-2024,36869.49,-0.75
31-07-2024,36514.57,-0.96
30-07-2024,36399.69,-0.31
29-07-2024,36250.21,-0.41
26-07-2024,36191.45,-0.16
25-07-2024,36753.87,1.55
24-07-2024,36535.82,-0.59
23-07-2024,36530.4,-0.01
22-07-2024,37171.2,1.75
19-07-2024,37835.29,1.79
18-07-2024,37712.71,-0.32
17-07-2024,37222.99,-1.3
16-07-2024,36587.3,-1.71
15-07-2024,36717.55,0.36
12-07-2024,36343.92,-1.02
11-07-2024,36503.48,0.44
10-07-2024,36515.89,0.03
09-07-2024,36315.74,-0.55
05-07-2024,36027.78,-0.79
04-07-2024,35591.48,-1.21
03-07-2024,35330.2,-0.73
02-07-2024,35562.71,0.66
01-07-2024,35281.27,-0.79
28-06-2024,34581.58,-1.98
27-06-2024,34534.33,-0.14
26-06-2024,35041.33,1.47
25-06-2024,34812.82,-0.65
24-06-2024,35320.75,1.46
21-06-2024,34472.8,-2.4
20-06-2024,34419.75,-0.15
19-06-2024,34043.55,-1.09
18-06-2024,33793.37,-0.73
17-06-2024,33579.38,-0.63
14-06-2024,33615.34,0.11
13-06-2024,33623.33,0.02
12-06-2024,33294.43,-0.98
11-06-2024,33103.15,-0.57
10-06-2024,33628.11,1.59
07-06-2024,33920.33,0.87
06-06-2024,33640.63,-0.82
05-06-2024,33568.19,-0.22
04-06-2024,33415.13,-0.46
03-06-2024,33689.55,0.82
31-05-2024,33427.74,-0.78
30-05-2024,33329.64,-0.29
29-05-2024,33288.76,-0.12
28-05-2024,33312.51,0.07
27-05-2024,33336.58,0.07
24-05-2024,33640.88,0.91
23-05-2024,34291.71,1.93
22-05-2024,34332.26,0.12
21-05-2024,34870.92,1.57
20-05-2024,33956.44,-2.62
17-05-2024,33840.98,-0.34
16-05-2024,33659.78,-0.54
15-05-2024,33275.02,-1.14
14-05-2024,33175.88,-0.3
13-05-2024,33495.91,0.96
10-05-2024,32617.32,-2.62
06-05-2024,32674.93,0.18
04-05-2024,32858.4,0.56
03-05-2024,32793.6,-0.2
02-05-2024,32524.71,-0.82
30-04-2024,33176.68,2.0
29-04-2024,33494.13,0.96
26-04-2024,33214.94,-0.83
25-04-2024,32996.77,-0.66
24-04-2024,32829.58,-0.51
23-04-2024,33835.57,3.06
22-04-2024,34190.71,1.05
19-04-2024,34232.34,0.12
18-04-2024,34546.96,0.92
17-04-2024,34183.67,-1.05
16-04-2024,33849.51,-0.98
15-04-2024,34485.11,1.88
12-04-2024,33616.18,-2.52
11-04-2024,33738.8,0.36
10-04-2024,33911.46,0.51
09-04-2024,33505.6,-1.2
08-04-2024,32872.01,-1.89
05-04-2024,32908.81,0.11
04-04-2024,32627.25,-0.86
03-04-2024,32583.3,-0.13
02-04-2024,31686.42,-2.75
01-04-2024,31702.03,0.05
29-03-2024,31799.24,0.31
28-03-2024,31684.62,-0.36
27-03-2024,31739.41,0.17
26-03-2024,31459.87,-0.88
20-03-2024,31242.86,-0.69
19-03-2024,31134.02,-0.35
18-03-2024,31301.18,0.54
15-03-2024,31333.71,0.1
14-03-2024,31255.18,-0.25
13-03-2024,31438.82,0.59
12-03-2024,31441.11,0.01
11-03-2024,31186.72,-0.81
07-03-2024,30608.53,-1.85
06-03-2024,30798.47,0.62
05-03-2024,30363.04,-1.41
04-03-2024,29731.3,-2.08
01-03-2024,29450.08,-0.95
29-02-2024,29386.28,-0.22
28-02-2024,29383.85,-0.01
27-02-2024,29441.6,0.2
26-02-2024,29207.11,-0.8
23-02-2024,29413.42,0.71
22-02-2024,29404.53,-0.03
21-02-2024,29514.99,0.38
20-02-2024,29239.19,-0.93
19-02-2024,28928.69,-1.06
16-02-2024,28766.27,-0.56
15-02-2024,28621.43,-0.5
14-02-2024,29183.79,1.96
13-02-2024,29026.37,-0.54
12-02-2024,29204.15,0.61
09-02-2024,29493.97,0.99
08-02-2024,29555.89,0.21
07-02-2024,29596.93,0.14
06-02-2024,29495.82,-0.34
05-02-2024,29801.72,1.04
02-02-2024,29455.36,-1.16
01-02-2024,29335.93,-0.41
31-01-2024,29348.25,0.04
30-01-2024,29330.06,-0.06
29-01-2024,29224.05,-0.36
26-01-2024,28940.67,-0.97
25-01-2024,29078.6,0.48
24-01-2024,29065.43,-0.05
23-01-2024,29191.01,0.43
22-01-2024,29365.08,0.6
19-01-2024,29228.63,-0.46
18-01-2024,29526.56,1.02
17-01-2024,29592.74,0.22
16-01-2024,29805.23,0.72
15-01-2024,29595.09,-0.71
12-01-2024,29600.29,0.02
11-01-2024,29678.79,0.27
10-01-2024,29696.65,0.06
09-01-2024,29562.46,-0.45
08-01-2024,29705.82,0.48
05-01-2024,30046.52,1.15
04-01-2024,30183.9,0.46
03-01-2024,30323.51,0.46
29-12-2023,30304.43,-0.06
28-12-2023,30192.91,-0.37
27-12-2023,30151.16,-0.14
26-12-2023,30244.34,0.31
25-12-2023,30380.49,0.45
22-12-2023,29889.09,-1.62
21-12-2023,29866.18,-0.08
20-12-2023,29832.93,-0.11
19-12-2023,29722.19,-0.37
15-12-2023,29797.21,0.25
14-12-2023,29031.24,-2.57
13-12-2023,29162.64,0.45
12-12-2023,29362.93,0.69
11-12-2023,29866.38,1.71
08-12-2023,30065.29,0.67
07-12-2023,29860.08,-0.68
06-12-2023,29993.81,0.45
05-12-2023,30650.54,2.19
04-12-2023,30247.41,-1.32
01-12-2023,30010.05,-0.78
30-11-2023,30073.19,0.21
29-11-2023,29723.58,-1.16
28-11-2023,29710.98,-0.04
27-11-2023,29705.91,-0.02
24-11-2023,29544.2,-0.54
23-11-2023,29373.38,-0.58
22-11-2023,29347.97,-0.09
21-11-2023,29387.12,0.13
20-11-2023,29641.29,0.86
17-11-2023,29181.24,-1.55
16-11-2023,29282.36,0.35
15-11-2023,29016.62,-0.91
14-11-2023,29020.5,0.01
13-11-2023,29386.4,1.26
10-11-2023,29295.0,-0.31
09-11-2023,29416.49,0.41
08-11-2023,29386.54,-0.1
07-11-2023,29545.07,0.54
06-11-2023,29737.22,0.65
03-11-2023,29901.28,0.55
02-11-2023,29963.0,0.21
01-11-2023,30164.24,0.67
31-10-2023,30283.54,0.4
30-10-2023,30053.5,-0.76
27-10-2023,30494.59,1.47
26-10-2023,30141.83,-1.16
24-10-2023,30492.39,1.16
23-10-2023,30560.92,0.22
20-10-2023,30034.67,-1.72
19-10-2023,29872.57,-0.54
18-10-2023,29505.27,-1.23
17-10-2023,29340.73,-0.56
16-10-2023,28937.64,-1.37
13-10-2023,28775.35,-0.56
12-10-2023,28664.92,-0.38
11-10-2023,28532.74,-0.46
10-10-2023,28407.89,-0.44
09-10-2023,28024.25,-1.35
06-10-2023,27979.31,-0.16
05-10-2023,27937.16,-0.15
04-10-2023,28053.33,0.42
03-10-2023,28172.59,0.43
02-10-2023,28550.44,1.34
29-09-2023,28775.37,0.79
28-09-2023,29421.62,2.25
27-09-2023,29320.09,-0.35
26-09-2023,29297.38,-0.08
25-09-2023,29431.65,0.46
22-09-2023,29432.77,0.0
21-09-2023,29366.03,-0.23
20-09-2023,29329.7,-0.12
19-09-2023,29066.81,-0.9
18-09-2023,28826.02,-0.83
15-09-2023,28573.94,-0.87
